source_row,name,sample_start,sample_end,publication_year,significance,reason
0,niq_su,1974.0,1981.0,1984.0,1.0,eligible
1,,1977.0,1993.0,1996.0,,missing_name
2,,1977.0,1993.0,1996.0,,missing_name
3,ret_6_1,1965.0,1989.0,1993.0,1.0,eligible
4,ret_12_1,1965.0,1989.0,1993.0,1.0,eligible
5,,1973.0,1995.0,1999.0,,missing_name
6,saleq_su,1987.0,2003.0,2006.0,1.0,eligible
7,tax_gr1a,1977.0,2006.0,2011.0,1.0,eligible
8,,1975.0,1980.0,1984.0,,missing_name
9,ni_inc8q,1982.0,1992.0,1999.0,0.0,eligible
10,prc_highprc_252d,1963.0,2001.0,2004.0,1.0,eligible
11,resff3_6_1,1930.0,2009.0,2011.0,1.0,eligible
12,resff3_12_1,1930.0,2009.0,2011.0,1.0,eligible
13,,1977.0,2009.0,2012.0,,missing_name
14,,1972.0,2001.0,2007.0,,missing_name
15,,1972.0,2001.0,2007.0,,missing_name
16,,1980.0,2004.0,2008.0,,missing_name
17,,1963.0,2005.0,2010.0,,missing_name
18,,1963.0,2005.0,2010.0,,missing_name
19,be_me,1973.0,1984.0,1985.0,1.0,eligible
20,,,,2013.0,,missing_or_ambiguous_year
21,,,,,,missing_or_ambiguous_year
22,debt_me,1948.0,1979.0,1988.0,1.0,eligible
23,,,,,,missing_or_ambiguous_year
24,at_me,1963.0,1990.0,1992.0,0.0,eligible
25,,,,,,missing_or_ambiguous_year
26,ret_60_12,1926.0,1982.0,1985.0,1.0,eligible
27,ni_me,1963.0,1979.0,1983.0,1.0,eligible
28,,,,,,missing_or_ambiguous_year
29,,1982.0,1998.0,2001.0,,missing_name
30,fcf_me,1963.0,1990.0,1994.0,1.0,eligible
31,,,,,,missing_or_ambiguous_year
32,div12m_me,1940.0,1980.0,1979.0,1.0,publication_before_sample_end
33,,,,,,missing_or_ambiguous_year
34,eqpo_me,1984.0,2003.0,2007.0,1.0,eligible
35,,,,,,missing_or_ambiguous_year
36,eqnpo_me,1984.0,2003.0,2007.0,1.0,eligible
37,,,,,,missing_or_ambiguous_year
38,sale_gr3,1968.0,1989.0,1994.0,1.0,eligible
39,sale_gr1,1968.0,1989.0,1994.0,1.0,eligible
40,ebitda_mev,1963.0,2009.0,2011.0,1.0,eligible
41,,,,,,missing_or_ambiguous_year
42,sale_me,1979.0,1991.0,1996.0,1.0,eligible
43,,,,,,missing_or_ambiguous_year
44,ocf_me,1973.0,1997.0,2004.0,1.0,eligible
45,,,,,,missing_or_ambiguous_year
46,,1968.0,2003.0,2006.0,,missing_name
47,ival_me,1975.0,1993.0,1998.0,0.0,eligible
48,,1976.0,1992.0,1998.0,,missing_name
49,bev_mev,1962.0,2001.0,2007.0,1.0,eligible
50,,,,,,missing_or_ambiguous_year
51,netdebt_me,1962.0,2001.0,2007.0,1.0,eligible
52,,,,,,missing_or_ambiguous_year
53,eq_dur,1962.0,1998.0,2004.0,1.0,eligible
54,,1982.0,1991.0,1996.0,,missing_name
55,,,,,,missing_or_ambiguous_year
56,capex_abn,1973.0,1996.0,2004.0,1.0,eligible
57,at_gr1,1968.0,2003.0,2008.0,1.0,eligible
58,,,,,,missing_or_ambiguous_year
59,ppeinv_gr1a,1970.0,2005.0,2008.0,1.0,eligible
60,noa_at,1964.0,2002.0,2004.0,1.0,eligible
61,noa_gr1a,1964.0,2002.0,2004.0,1.0,eligible
62,lnoa_gr1a,1964.0,1993.0,2003.0,1.0,eligible
63,capx_gr1,1971.0,1992.0,2001.0,0.0,eligible
64,capx_gr2,1976.0,1998.0,2006.0,1.0,eligible
65,capx_gr3,1976.0,1998.0,2006.0,1.0,eligible
66,chcsho_12m,1970.0,2003.0,2008.0,1.0,eligible
67,,,,1998.0,,missing_or_ambiguous_year
68,eqnpo_12m,1968.0,2003.0,2006.0,1.0,eligible
69,debt_gr3,1970.0,2005.0,2008.0,1.0,eligible
70,inv_gr1,1965.0,2009.0,2011.0,1.0,eligible
71,inv_gr1a,1970.0,1997.0,2002.0,1.0,eligible
72,oaccruals_at,1962.0,1991.0,1996.0,1.0,eligible
73,taccruals_at,1962.0,2001.0,2005.0,1.0,eligible
74,cowc_gr1a,1962.0,2001.0,2005.0,1.0,eligible
75,coa_gr1a,1962.0,2001.0,2005.0,1.0,eligible
76,col_gr1a,1962.0,2001.0,2005.0,1.0,eligible
77,nncoa_gr1a,1962.0,2001.0,2005.0,1.0,eligible
78,ncoa_gr1a,1962.0,2001.0,2005.0,1.0,eligible
79,ncol_gr1a,1962.0,2001.0,2005.0,0.0,eligible
80,nfna_gr1a,1962.0,2001.0,2005.0,1.0,eligible
81,sti_gr1a,1962.0,2001.0,2005.0,0.0,eligible
82,lti_gr1a,1962.0,2001.0,2005.0,1.0,eligible
83,fnl_gr1a,1962.0,2001.0,2005.0,1.0,eligible
84,be_gr1a,1962.0,2001.0,2005.0,1.0,eligible
85,,1971.0,1992.0,2001.0,,missing_name
86,oaccruals_ni,1989.0,2008.0,2011.0,1.0,eligible
87,taccruals_ni,1989.0,2008.0,2011.0,1.0,eligible
88,,,,,,missing_or_ambiguous_year
89,netis_at,1971.0,2000.0,2006.0,1.0,eligible
90,eqnetis_at,1971.0,2000.0,2006.0,1.0,eligible
91,dbnetis_at,1971.0,2000.0,2006.0,1.0,eligible
92,niq_be,1972.0,2012.0,2015.0,1.0,eligible
93,niq_be_chg1,1967.0,2016.0,,0.0,missing_or_ambiguous_year
94,niq_at,1976.0,2005.0,2010.0,1.0,eligible
95,niq_at_chg1,1972.0,2016.0,,0.0,missing_or_ambiguous_year
96,ebit_bev,1984.0,2002.0,2008.0,1.0,eligible
97,,,,,,missing_or_ambiguous_year
98,ebit_sale,1984.0,2002.0,2008.0,1.0,eligible
99,,,,,,missing_or_ambiguous_year
100,sale_bev,1984.0,2002.0,2008.0,1.0,eligible
101,,,,,,missing_or_ambiguous_year
102,at_turnover,1979.0,1993.0,1996.0,0.0,eligible
103,,,,,,missing_or_ambiguous_year
