event_id,event_date,ticker,outcome,phase,nct_id
HWANG-001,2013-03-19,AMGN,positive,3,NCT00769704
HWANG-002,2013-03-05,GILD,positive,2,NCT01497899
HWANG-003,2013-02-07,LLY,negative,3,NCT01202773
HWANG-004,2013-01-24,BIIB,positive,3,NCT00906399
HWANG-005,2013-01-03,BIIB,negative,3,NCT01281189
HWANG-006,2012-12-05,PFE,positive,2,NCT00721409
HWANG-007,2012-11-10,GILD,positive,2,NCT01260350
HWANG-008,2012-10-11,PFE,positive,3,NCT01428583
HWANG-009,2012-09-26,BIIB,positive,3,NCT01027364
HWANG-010,2012-08-08,AMGN,negative,3,NCT01231347
HWANG-011,2012-08-06,PFE,negative,3,NCT00574132
HWANG-012,2012-08-02,BMS,negative,3,NCT01629732
HWANG-013,2012-07-11,LLY,negative,3,NCT01487083
HWANG-014,2012-07-02,BMS,positive,1,NCT00730639
HWANG-015,2012-05-22,LLY,positive,2,NCT01149421
HWANG-016,2012-05-16,AMGN,positive,2,NCT01209286
HWANG-017,2012-03-28,AMGN,positive,2,NCT00975637
HWANG-018,2012-03-28,LLY,positive,2,NCT01107457
HWANG-019,2012-03-25,AMGN,positive,1,NCT01133522
HWANG-020,2012-03-05,MRK,positive,3,NCT01469182
HWANG-021,2012-02-03,GILD,positive,2,NCT01260350
HWANG-022,2011-12-22,BMS,negative,3,NCT00825955
HWANG-023,2011-08-09,BIIB,positive,2,NCT00390221
HWANG-024,2011-02-02,BMS,negative,3,NCT00982111
